name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Ультразвуковой щелевой датчик этикетки DATASENSING SRX3-6-US-M8-PH";"110 712 руб.";"Серия:;SRX;Размер прямоугольного корпуса, мм:;22x55x90;Глубина щели, мм:;68;Корпус:;Прямоугольный;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение отделяемых этикеток любого типа на любой роликовой опоре;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Тип выходного сигнала:;PNP;Частота переключения, Гц:;300000;Ширина щели, мм:;3";https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_datalogic_srx3_6_us_m8_ph/;SRX;22x55x90;;68;;Прямоугольный;Алюминий;"12-24 DC";Ультразвуковой;M8;Разъем;;PNP;;;300000;3;;;;;;;;;;;;"Обнаружение отделяемых этикеток любого типа на любой роликовой опоре";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WF2-40B416";"25 770 руб.";"Страна происхождения:;Франция;Серия:;WF;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x32x57;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Распознавание при очень высокой скорости объекта;Подключение:;4 pin;Применение:;Обнаружение краёв, отверстий и объектов на высокой скоросте;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;2";https://sensoren.ru/product/shchelevoy_datchik_sick_wf2_40b416/;WF;10x32x57;;42;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;2;;Франция;60;-20;;;;;IP65;0,2;;"Распознавание при очень высокой скорости объекта";-20…+60;;;;;;;;;;"4 pin";"Обнаружение краёв, отверстий и объектов на высокой скоросте";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик этикетки SICK UFN3-70N415";"74 290 руб.";"Страна происхождения:;Франция;Серия:;UF;Минимальный зазор между объектами, мм:;2;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;5;Размер прямоугольного корпуса, мм:;18x47,5x92,5;Вес, грамм:;170;Глубина щели, мм:;69;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Детектор сдвоенного листа;Подключение:;4 pin;Применение:;Распознавание прозрачных, непрозрачных и этикеток с печатью;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;+5…+55;Тип выходного сигнала:;NPN;Функция переключения:;NO/NC;Частота переключения, Гц:;1500;Ширина щели, мм:;3";https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_ufn3_70n415/;UF;18x47,5x92,5;;69;;;Алюминий;"12-24 DC";Ультразвуковой;M8;Разъем;;NPN;;NO/NC;1500;3;;Франция;55;5;;170;;;IP65;;;"Детектор сдвоенного листа";+5…+55;;;;;;;;;2;"4 pin";"Распознавание прозрачных, непрозрачных и этикеток с печатью";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный датчик LANBAO LE25UDPO";"2 240 руб.";"Потребление тока, мА:;20;Страна происхождения:;Китай;Серия:;LE25U;Влажность окружающей среды:;Относительная влажность 35-95%;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Размер прямоугольного корпуса, мм:;100x67x22;Сертификат соответствия:;CE+EAC+UL;Глубина щели, мм:;50;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;Красный светодиод;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Особенности:;Повышенная чувствительность. Ударопрочный корпус;Расстояние срабатывания, мм:;24;Соединение:;Кабель;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;200;Ширина щели, мм:;25";https://sensoren.ru/product/induktivnyy_datchik_lanbao_le25udpo/;LE25U;100x67x22;;50;;Щелевой;Пластмасса;"12-24 DC";;;Кабель;;PNP;;NO;200;25;;Китай;70;-25;CE+EAC+UL;;да;"Красный светодиод";IP67;;;"Повышенная чувствительность. Ударопрочный корпус";;20;"Относительная влажность 35-95%";;2;да;да;0,1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BUP-30S";;"Регулировка чувствительности:;да;Серия:;BUP;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-25;Вес, грамм:;90;Глубина щели, мм:;36;Минимальный диаметр объекта, мм:;1,5;Длина волны, нм:;940;Длина кабеля, м:;2;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP66;Температура эксплуатации, °C:;-25…+65;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;30";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_30s/;BUP;;;36;;;Пластик;"12-24 DC";;;Кабель;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";;30;;;65;-25;;90;;;IP66;1,5;940;;-25…+65;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ультразвуковой щелевой датчик этикетки DATASENSING SRX3-6-US-3-M8-PN";"110 712 руб.";"Серия:;SRX;Размер прямоугольного корпуса, мм:;22x55x90;Глубина щели, мм:;68;Корпус:;Прямоугольный;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение отделяемых этикеток любого типа на любой роликовой опоре;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Тип выходного сигнала:;PNP/NPN;Частота переключения, Гц:;300000;Ширина щели, мм:;3";https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_datalogic_srx3_6_us_3_m8_pn/;SRX;22x55x90;;68;;Прямоугольный;Алюминий;"12-24 DC";Ультразвуковой;M8;Разъем;;PNP/NPN;;;300000;3;;;;;;;;;;;;"Обнаружение отделяемых этикеток любого типа на любой роликовой опоре";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR31-1";"36 979 руб.";"Серия:;SR31;Размер прямоугольного корпуса, мм:;13x50x70;Глубина щели, мм:;42;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение мелких предметов, движущихся с высокой скоростью;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;NC;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr31_1/;SR31;13x50x70;;42;;Прямоугольный;Метал;"12-24 DC";Оптический;M8;Разъем;;PNP;"инфракрасный свет";NC;;30;;;;;;;;;;;;"Обнаружение мелких предметов, движущихся с высокой скоростью";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик СЕНСОР ВБИ-Щ06У-1112-С";"5 552 руб.";"Страна происхождения:;Россия;Серия:;ВБИ;Температура эксплуатации Max, °C:;80;Температура эксплуатации Min, °C:;-45;Размер прямоугольного корпуса, мм:;18x26x28;Вес, грамм:;76;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,5;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Функция переключения:;NC;Частота переключения, Гц:;1000;Ширина щели, мм:;6";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_sensor_vbi_shch06u_1112_s/;ВБИ;18x26x28;;;;Щелевой;Пластмасса;"12-24 DC";;;Кабель;;PNP;;NC;1000;6;;Россия;80;-45;;76;да;есть;IP67;;;;;;;;2;да;да;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU05M-TGNR-K";"1 300 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Минимальный размер объекта, мм:;1,2x0,8;Размер прямоугольного корпуса, мм:;21,3x6x25,4;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;16;Вес, грамм:;15;Глубина щели, мм:;8,4;Длина волны, нм:;855;Длина кабеля, м:;1;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,05;Материал корпуса:;PBT;Напряжение питания, В:;5-30 DC;Расстояние срабатывания, мм:;5;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1000;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgnr_k/;PU;21,3x6x25,4;16;8,4;;;PBT;"5-30 DC";;;Кабель;;NPN;"инфракрасный свет";"на свет/на затемнение";1000;5;;Китай;;;CE+EAC;15;да;есть;IP65;;855;;;15;;;1;да;;0,05;5;;;;;;;;;;;;1,2x0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR23-2-IR-NH";"21 739 руб.";"Серия:;SR23;Размер прямоугольного корпуса, мм:;11x25x64;Глубина щели, мм:;50;Длина кабеля, м:;2;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных;Принцип действия:;Оптический;Соединение:;Кабель;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;NC;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr23_2_ir_nh/;SR23;11x25x64;;50;;Прямоугольный;Метал;"12-24 DC";Оптический;;Кабель;;NPN;"инфракрасный свет";NC;;5;;;;;;;;;;;;"Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных";;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU05M-TGNR-Y";"1 300 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Минимальный размер объекта, мм:;1,2x0,8;Размер прямоугольного корпуса, мм:;14,6x13,4x20,6;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;28;Вес, грамм:;15;Глубина щели, мм:;8,4;Длина волны, нм:;855;Длина кабеля, м:;1;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,05;Материал корпуса:;PBT;Напряжение питания, В:;5-30 DC;Расстояние срабатывания, мм:;5;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1000;Ширина щели, мм:;5,2";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgnr_y/;PU;14,6x13,4x20,6;28;8,4;;;PBT;"5-30 DC";;;Кабель;;NPN;"инфракрасный свет";"на свет/на затемнение";1000;5,2;;Китай;;;CE+EAC;15;да;есть;IP65;;855;;;15;;;1;да;;0,05;5;;;;;;;;;;;;1,2x0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BS5-K1M";"1 660 руб.";"Серия:;BS5;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;-20;Вес, грамм:;50;Глубина щели, мм:;9;Минимальный диаметр объекта, мм:;0,8?2;Длина волны, нм:;940;Длина кабеля, м:;1;Корпус:;Тип K;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Особенности:;Миниатюрные датчики со встроенным усилителем;Соединение:;Кабель;Степень защиты:;IP50;Температура эксплуатации, °C:;-20…+55;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;5";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_k1m/;BS5;;;9;;"Тип K";Пластик;"5-30 DC";;;Кабель;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";2000;5;;;55;-20;;50;;;IP50;0,8?2;940;"Миниатюрные датчики со встроенным усилителем";-20…+55;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SJ3,5-N";"9 692 руб.";"Серия:;SJ;Температура эксплуатации Max, °C:;100;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;0,5;Корпус:;Щелевой;Материал кабеля:;LiY;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj3_5_n/;SJ;;;;;Щелевой;Пластик;"5-30 DC";;;Кабель;;NAMUR;;NC;3000;3,5;;;100;-25;;;;;IP67;;;;-25…+100;;;;0,5;;;;;;;;;;;;;;LiY;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU15-TDPC";"3 920 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Влажность окружающей среды:;Относительная влажность 35-95 % (без конденсации);Время отклика, мс:;1;Размер прямоугольного корпуса, мм:;40x35x15;Сертификат соответствия:;CE+EAC;Наличие на складе г. Смоленск:;4;Глубина щели, мм:;20;Минимальный диаметр объекта, мм:;1,5;Длина кабеля, м:;2;Защита от переполюсовки:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,2;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Особенности:;Стабильное обнаружение, высокая производительность. Улучшенная защита от помех;Расстояние срабатывания, мм:;15;Соединение:;Кабель;Степень защиты:;IP64;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет;Ширина щели, мм:;15";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu15_tdpc/;PU;40x35x15;4;20;;;Пластмасса;"12-24 DC";;;Кабель;;PNP;"инфракрасный свет";"на свет";;15;;Китай;;;CE+EAC;;да;есть;IP64;1,5;;"Стабильное обнаружение, высокая производительность. Улучшенная защита от помех";;15;"Относительная влажность 35-95 % (без конденсации)";1;2;;;0,2;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BS5-L1M";"1 660 руб.";"Серия:;BS5;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;-20;Вес, грамм:;50;Глубина щели, мм:;9;Минимальный диаметр объекта, мм:;0,8?2;Длина волны, нм:;940;Длина кабеля, м:;1;Корпус:;Тип L;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Особенности:;Миниатюрные датчики со встроенным усилителем;Соединение:;Кабель;Степень защиты:;IP50;Температура эксплуатации, °C:;-20…+55;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;5";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_l1m/;BS5;;;9;;"Тип L";Пластик;"5-30 DC";;;Кабель;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";2000;5;;;55;-20;;50;;;IP50;0,8?2;940;"Миниатюрные датчики со встроенным усилителем";-20…+55;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SB3,5-E2";"7 098 руб.";"Серия:;SB;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;0,5;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Корпус:;Щелевой;Материал кабеля:;LiY;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+70;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;3-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sb3_5_e2/;SB;;;;;Щелевой;Пластик;"12-24 DC";;;Кабель;;PNP;;NO;3000;3,5;;;70;-25;;;да;;IP67;;;;-25…+70;;;;0,5;да;;;;;;;;;;;;;LiY;"3-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик этикетки SICK WFS3-40B41CA00";"19 710 руб.";"Страна происхождения:;Франция;Серия:;WFS;Источник излучения:;Светодиод;Минимальный зазор между объектами, мм:;2;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x25x64,3;Вес, грамм:;51;Глубина щели, мм:;42;Коммуникационный интерфейс:;IO-Link;Напряжение питания, В:;12-24 DC;Особенности:;Настраевыемый порог срабатывания при непрерывной ленте этикеток;Подключение:;4 pin;Применение:;Распознавание непрозрачных этикеток;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PUSH/PULL;Тип света:;инфракрасный свет;Функция переключения:;NO/NC;Частота переключения, Гц:;15000;Ширина щели, мм:;3";https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_wfs3_40b41ca00/;WFS;10x25x64,3;;42;;;;"12-24 DC";Оптический;M8;Разъем;;PUSH/PULL;"инфракрасный свет";NO/NC;15000;3;;Франция;60;-20;;51;;;IP65;;;"Настраевыемый порог срабатывания при непрерывной ленте этикеток";-20…+60;;;;;;;;;2;"4 pin";"Распознавание непрозрачных этикеток";Светодиод;;;;;;;;;;IO-Link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU 06/24-2-S8";"208 656 руб.";"Число контактов, pin:;4;Серия:;GSU 06;Время отклика, мс:;0,3;Температура эксплуатации Max, °C:;60;Ширина этикетки Min, мм:;10;Зазор между этикетками Min, мм:;2;Расположение разъема:;Горизонтально (параллельно движению ленты);Температура эксплуатации Min, °C:;5;Размер прямоугольного корпуса, мм:;16,5x40x78;Вес, грамм:;150;Глубина щели, мм:;48;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Настройка:;Функция обучения;Особенности:;Надежное обнаружение этикеток с металлическим покрытием и из фольги;Принцип действия:;Ультразвуковой;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP62;Температура эксплуатации, °C:;+5…+60;Тип выходного сигнала:;PNP/NPN;Ширина щели, мм:;2,5";https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu_06_24_2_s8/;"GSU 06";16,5x40x78;;48;;;Алюминий;"12-24 DC";Ультразвуковой;M8;Разъем;;PNP/NPN;;;;2,5;4;;60;5;;150;да;;IP62;;;"Надежное обнаружение этикеток с металлическим покрытием и из фольги";+5…+60;;;0,3;;да;;;;;;;;;10;2;"Функция обучения";;;;;"Горизонтально (параллельно движению ленты)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BUP-50S";"5 100 руб.";"Регулировка чувствительности:;да;Серия:;BUP;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-25;Вес, грамм:;140;Глубина щели, мм:;36;Минимальный диаметр объекта, мм:;1,5;Длина волны, нм:;940;Длина кабеля, м:;2;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP66;Температура эксплуатации, °C:;-25…+65;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;50";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_50s/;BUP;;;36;;;Пластик;"12-24 DC";;;Кабель;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";;50;;;65;-25;;140;;;IP66;1,5;940;;-25…+65;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SC3,5-G-N0";"7 605 руб.";"Серия:;SC;Класс безопасности систем управления SIL:;SIL 2;Температура эксплуатации Max, °C:;100;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;0,13;Корпус:;Щелевой;Материал кабеля:;PVC;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sc3_5_g_n0/;SC;;;;;Щелевой;Пластик;"5-30 DC";;;Кабель;;NAMUR;;NC;3000;3,5;;;100;-25;;;;;IP67;;;;-25…+100;;;;0,13;;;;;;;;;;;;;"SIL 2";PVC;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик DATASENSING SRF-80-5-P";"32 796 руб.";"Серия:;SRF;Размер прямоугольного корпуса, мм:;10x100x79;Глубина щели, мм:;54;Корпус:;Прямоугольный;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение объектов со светодиодной или лазерной эмиссией;Соединение:;Разъем M8;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1500;Ширина щели, мм:;80";https://sensoren.ru/product/shchelevoy_datchik_datalogic_srf_80_5_p/;SRF;10x100x79;;54;;Прямоугольный;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";1500;80;;;;;;;;;;;;"Обнаружение объектов со светодиодной или лазерной эмиссией";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
