Функция выхода,Функция переключения:  ,Функция переключения:,Функция переключения:,Функция выхода,Функция выхода,Функция выхода,Функция выхода,Функция выхода,Функция переключения:,Тип коммутации,Функция переключения:,Функция переключения:,Функция переключения:,Функция переключения:,Функция переключения:,Функция переключения:,Функция переключения:,Функция переключения:
"Остаточный ток (ток утечки), мА, не более",,,,,,,,,,,,,,,,,,
Наличие защиты от переполюсовки,Защита от переполюсовки:,,,,,Защита от переполюсовки,,,,,,,,,,,,
"Длина корпуса, мм (2-х проводные на постоянное напряжение 15-30В)","Длина корпуса, мм:",,,,,,,,,,,,,,,,,
Способ установки,Монтаж:,Монтаж:,,,Способ монтажа,Способ монтажа,Способ монтажа,Способ монтажа,Монтаж:,Способ установки,Монтаж:,Монтаж:,Монтаж:,Монтаж:,Монтаж:,Монтаж:,Монтаж:,Монтаж:
"Тип, вариант исполнения корпуса (маркировка)",,,,,,,,,,,,,,,,,,
"Рабочая температура окружающей среды, °С","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:",Рабочая температура,Рабочая температура,Рабочая температура,Рабочая температура,Рабочая температура,"Температура эксплуатации, °C:",Диапазон рабочих температур,"Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:","Температура эксплуатации, °C:"
Наличие индикации включения,Индикация:,Индикация срабатывания:,,Индикация,Индикатор состояния выхода (LED),Индикатор состояния выхода (LED),,Индикатор состояния выхода (LED),,,,,"Индикация:
Индикация срабатывания:
","Индикация:
Индикация срабатывания:
","Индикация:
Индикация срабатывания:
","Индикация:
Индикация срабатывания:
","Индикация:
Индикация срабатывания:
","Индикация:
Индикация срабатывания:
"
"Длина кабеля, м","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:",Длина кабеля,Длина кабеля,Длина кабеля,Длина кабеля,Длина кабеля,"Длина кабеля, м:",Длина кабеля,"Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:","Длина кабеля, м:"
Материал оболочки кабеля (2-х проводные на постоянное напряжение 15-30В),,,,,,,,,,,,,Материал кабеля:,Материал кабеля:,Материал кабеля:,Материал кабеля:,Материал кабеля:,Материал кабеля:
"Рабочая температура окружающей среды мин., °С (2-х проводные на постоянное напряжение 15-30В)",,,,,,,,,,,,,,,,,,
"Наименование для печати (в Битрикс24) (""Общие"")",,,,,,,,,,,,,,,,,,
"Ток нагрузки, мА, не более",,"Номинальный ток, А:",,Ток нагрузки максимальный (Ie),Ток нагрузки максимальный (Ie),Ток нагрузки максимальный (Ie),,Ток нагрузки максимальный (Ie),,Коммутируемый ток [DC],"Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:","Макс. ток нагрузки, А:"
Материал корпуса датчика,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса,Материал корпуса,Материал корпуса,Материал корпуса,Материал корпуса,Материал корпуса:,Материал корпуса,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса:,Материал корпуса:
Температура (маркировка),,,,,,,,,,,,,,,,,,
"Диапазон питающих напряжений, В","Напряжение питания, В:         ","Напряжение питания, В:","Напряжение питания, В:",Напряжение питания рабочее,Напряжение питания рабочее,Напряжение питания рабочее,Напряжение питания рабочее,Напряжение питания рабочее,"Напряжение питания, В:",Диапазон питающего напряжения,"Напряжение питания, В:","Напряжение питания, В:",,,,,,
Дополнительные характеристики (2-х проводные на постоянное напряжение 15-30В),,,,,,,,,,,,,,,,,,
Показывать на сайте (2-х проводные на постоянное напряжение 15-30В),,,,,,,,,,,,,,,,,,
Диаметр цилиндрического корпуса (2-х проводные на постоянное напряжение 15-30В),Размер резьбы корпуса:,,,,,,,,,,,,,,,,,
"Пульсации питающего напряжения, %, не более",,,,,,,,,,,,,,,,,,
Наличие комплексной защиты,Защита от короткого замыкания:,,,Защита от короткого замыкания,Защита от короткого замыкания,,,,,Комплексная защита датчика,Защита от короткого замыкания:,Защита от короткого замыкания:,,,,,,
"Диапазон изменения тока на выходе, Iвых/ Iлин, мА (с аналоговым выходом, 3-х, 4-х проводные на постоянное напряжение, 15-30В)","Аналоговый выход по напряжению, В: ",,,,,,Диапазон выходного тока,,,Выходной сигнал,,,,,,,,
"Длина цилиндрического корпуса, мм","Длина корпуса, мм:",,,,,Длина,Длина,Длина,"Длина корпуса, мм:",,,,"Длина корпуса, мм:","Длина корпуса, мм:","Длина корпуса, мм:","Длина корпуса, мм:","Длина корпуса, мм:","Длина корпуса, мм:"
"Номинальное напряжение питания, В","Напряжение питания, В:",,,,Напряжение питания номинальное (Ue),Напряжение питания номинальное (Ue),,,,,,,"Напряжение питания, В:","Напряжение питания, В:","Напряжение питания, В:","Напряжение питания, В:","Напряжение питания, В:","Напряжение питания, В:"
Наличие индикации питания,,,,,,,,,,,,,,,,,,
"Момент затяжки крепежа, Нм, не более",,,,,,"Момент затяжки гаек, не более",,"Момент затяжки гаек, не более",,,,,,,,,,
Схема выхода,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выхода,Тип выхода,Тип выхода,Тип выхода,Тип выхода,Тип выходного сигнала:,Тип коммутации | Схема подключения,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:,Тип выходного сигнала:
"Рабочее расстояние переключения, Sa, мм",,,,,Расстояние срабатывания номинальное (Sn),,,,"Расстояние срабатывания, мм:",Номинальное расстояние срабатывания [Sn],,,,,,,,
Способ установки в металл,,,,,,,,,,,,,,,,,,
"Гистерезис, %, не более",,,,,"Гистерезис максимальный (H), от Sr","Гистерезис максимальный (H), от Sr",,"Гистерезис максимальный (H), от Sr",,"Гистерезис, не более",,,,,,,,
Способ подключения,Соединение:,Соединение:,Соединение:,Способ подключения,Способ подключения,Способ подключения,Способ подключения,Способ подключения,Соединение:,Электрическое подключение,Соединение:,Соединение:,Соединение:,Соединение:,Соединение:,Соединение:,Соединение:,Соединение:
Степень защиты IP,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты по IEC 60529,Степень защиты по IEC 60529,Степень защиты по IEC 60529,Степень защиты по IEC 60529,Степень защиты по IEC 60529,Степень защиты:,Степень защиты по ГОСТ 14254-2015,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты:,Степень защиты:
Тип корпуса (2-х проводные на постоянное напряжение 15-30В),,,,,,,,,,,,,,,,,,
"Диапазон частоты воздействия, fo, Гц",,"Диапазон измерения частоты, Гц:",,,,,,Частота переключения максимальная (f),,,,,,,,,,
Наличие регулировки частоты fo,,Регулировка частоты:,,,,,,,,,,,,,,,,
Тип разъёма (2-х проводные на постоянное напряжение 15-30В),,,Резьба разъема:,,,,,,,,Резьба разъема:,Резьба разъема:,,,,,,
"Зона чувствительности, см (Ультразвуковые)",,,"Диапазон срабатывания, мм:",,,,,,,,,,"Диапазон срабатывания, мм:","Диапазон срабатывания, мм:","Диапазон срабатывания, мм:","Диапазон срабатывания, мм:","Диапазон срабатывания, мм:","Диапазон срабатывания, мм:"
"Зона чувствительности, Sd, мм",,,,Расстояние срабатывания рабочее (Sa),,,,,,,,,,,,,,
"Наименование (для сайта) (""Общие"")",,,,"description     По описанию отфильтровать
 «ПРИЕМНИК = ОП»  «ИЗЛУЧАТЕЛЬ = ОИ» ""
диффузионного типа = О"" "" рефлекторного типа = ОС"".
",,,,,,,,,Излучатель / приёмник:,Функциональный принцип:  для оптических датчиков,Функциональный принцип:  для оптических датчиков,Функциональный принцип:  для оптических датчиков,Функциональный принцип:  для оптических датчиков,Функциональный принцип:  для оптических датчиков
"Фиксированная первоначальная задержка включения, tзад, сек",,,,,,,,Задержка срабатывания после подачи питания,,,,,,,,,,
"Диапазон контролируемого уровня
 СО2, ppm (Анализаторы концентрации CO2)
",,,,,,,,,,Диапазон измерения CO2,,,,,,,,
"Диапазон токового выхода, мА 
(Анализаторы концентрации CO2)
",,,,,,,,,,Выходной сигнал CO2,,,,,,,,
