name;price;art;description;info;link;"Расстояние срабатывания номинальное (Sn)";"Расстояние срабатывания рабочее (Sa)";"Способ подключения";"Рабочая температура";"Тип выхода";"Функция выхода";"Частота переключения максимальная (f)";Длина;"Длина кабеля";"Размеры упаковки";"Масса, не более";"Напряжение питания рабочее";"Падение напряжения максимальное";"Ток нагрузки максимальный (Ie)";"Ток потребления вкл./выкл.";"Программируемая функция выхода";"Материал корпуса";Индикация;"Степень защиты по IEC 60529";"Защита от короткого замыкания";"Защита от перегрузки по току";"Защита от переполюсовки";Примечание;"Индикатор питания"
ВБ3.18М.65.T4000.х.1.К;"2 184 руб.";F022;"Это ИЗЛУЧАТЕЛЬ барьерной пары, без приемника не работает!
Миниатюрный латунный (никелированный) цилиндрический корпус c резьбой М18х1 длиной 65 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ/2x0,35/ 2 м";"Способ подключения; кабель ПВХ/2x0,35/ 2 м;Рабочая температура; -20...+70 °C;Длина; 65 мм;Длина кабеля; 2 м;Размеры упаковки; 105x80x40 мм;Масса, не более; 0,15 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-65-t4000-x-1-k;;;"кабель ПВХ/2x0,35/ 2 м";"-20...+70 °C";;;;"65 мм";"2 м";"105x80x40 мм";"0,15 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.80.R16000.1П.1.Z;"3 480 руб.";F135;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ 5,5 мм/4x0,2/ 2 м";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; кабель ПВХ 5,5 мм/4x0,2/ 2 м;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 80 мм;Длина кабеля; 2 м;Размеры упаковки; 105x80x40 мм;Масса, не более; 0,15 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-r16000-1p-1-z;"16000 мм";"0...16000 мм";"кабель ПВХ 5,5 мм/4x0,2/ 2 м";"-20...+70 °C";PNP;"NO/NC, размыкающий или замыкающий";"100 Гц";"80 мм";"2 м";"105x80x40 мм";"0,15 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.80.R16000.1П.1.С4;"3 408 руб.";F134;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: разъем/М12/4-конт";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; разъем/М12/4-конт;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 80 мм;Размеры упаковки; 80x30x30 мм;Масса, не более; 0,1 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-r16000-1p-1-c4;"16000 мм";"0...16000 мм";разъем/М12/4-конт;"-20...+70 °C";PNP;"NO/NC, размыкающий или замыкающий";"100 Гц";"80 мм";;"80x30x30 мм";"0,1 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.80.R16000.5.1.С4;"3 876 руб.";F136;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: переключающий, NO+NC
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: разъем/М12/4-конт";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; разъем/М12/4-конт;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; переключающий, NO+NC;Частота переключения максимальная (f); 100 Гц;Длина; 80 мм;Размеры упаковки; 80x30x30 мм;Масса, не более; 0,1 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-r16000-5-1-c4;"16000 мм";"0...16000 мм";разъем/М12/4-конт;"-20...+70 °C";PNP;"переключающий, NO+NC";"100 Гц";"80 мм";;"80x30x30 мм";"0,1 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";;латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.80.R4000.1П.1.С4;"3 228 руб.";F023;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 4000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: разъем/М12/4-конт";"Расстояние срабатывания номинальное (Sn); 4000 мм;Расстояние срабатывания рабочее (Sa); 0...4000 мм;Способ подключения; разъем/М12/4-конт;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 80 мм;Размеры упаковки; 80x30x30 мм;Масса, не более; 0,1 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-r4000-1p-1-c4;"4000 мм";"0...4000 мм";разъем/М12/4-конт;"-20...+70 °C";PNP;"NO/NC, размыкающий или замыкающий";"100 Гц";"80 мм";;"80x30x30 мм";"0,1 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.80.T16000.х.1.Z;"2 388 руб.";F211;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ/2x0,35/ 2 м";"Способ подключения; кабель ПВХ/2x0,35/ 2 м;Рабочая температура; -20...+70 °C;Длина; 80 мм;Длина кабеля; 2 м;Размеры упаковки; 105x80x40 мм;Масса, не более; 0,15 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-t16000-x-1-z;;;"кабель ПВХ/2x0,35/ 2 м";"-20...+70 °C";;;;"80 мм";"2 м";"105x80x40 мм";"0,15 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.80.T16000.х.1.С4;"2 388 руб.";F212;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: разъем/М12/4-конт";"Способ подключения; разъем/М12/4-конт;Рабочая температура; -20...+70 °C;Длина; 80 мм;Размеры упаковки; 80x30x30 мм;Масса, не более; 0,1 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-t16000-x-1-c4;;;разъем/М12/4-конт;"-20...+70 °C";;;;"80 мм";;"80x30x30 мм";"0,1 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.80.T4000.х.1.Z;"2 184 руб.";F025;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: кабель ПВХ/2x0,35/ 2 м";"Способ подключения; кабель ПВХ/2x0,35/ 2 м;Рабочая температура; -20...+70 °C;Длина; 80 мм;Длина кабеля; 2 м;Размеры упаковки; 105x80x40 мм;Масса, не более; 0,15 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-t4000-x-1-z;;;"кабель ПВХ/2x0,35/ 2 м";"-20...+70 °C";;;;"80 мм";"2 м";"105x80x40 мм";"0,15 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.80.T4000.х.1.С4;"2 184 руб.";F026;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 80 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: разъем/М12/4-конт";"Способ подключения; разъем/М12/4-конт;Рабочая температура; -20...+70 °C;Длина; 80 мм;Размеры упаковки; 80x30x30 мм;Масса, не более; 0,1 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-80-t4000-x-1-c4;;;разъем/М12/4-конт;"-20...+70 °C";;;;"80 мм";;"80x30x30 мм";"0,1 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.90.R16000.1П.1.В;"4 272 руб.";F167;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,05 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-r16000-1p-1-v;"16000 мм";"0...16000 мм";"клеммная коробка/вывод вбок";"-20...+70 °C";PNP;"NO/NC, размыкающий или замыкающий";"100 Гц";"90 мм";;"90x50x30 мм";"0,05 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.90.R16000.2П.1.В;"4 272 руб.";F168;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: NPN
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Тип выхода; NPN;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,08 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-r16000-2p-1-v;"16000 мм";"0...16000 мм";"клеммная коробка/вывод вбок";"-20...+70 °C";NPN;"NO/NC, размыкающий или замыкающий";"100 Гц";"90 мм";;"90x50x30 мм";"0,08 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.90.R16000.5.1.В;"4 920 руб.";F169;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 16000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: переключающий, NO+NC
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Расстояние срабатывания номинальное (Sn); 16000 мм;Расстояние срабатывания рабочее (Sa); 0...16000 мм;Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; переключающий, NO+NC;Частота переключения максимальная (f); 100 Гц;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,08 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-r16000-5-1-v;"16000 мм";"0...16000 мм";"клеммная коробка/вывод вбок";"-20...+70 °C";PNP;"переключающий, NO+NC";"100 Гц";"90 мм";;"90x50x30 мм";"0,08 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";;латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.90.R4000.1П.1.В;"3 870 руб.";F027;"Это ПРИЕМНИК барьерной пары, без излучателя не работает!
Миниатюрный корпус из пластика АБС и латуни с резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Расстояние срабатывания: 4000 мм
Рабочее напряжение питания: 10...30 V DC
Ток нагрузки максимальный: 0,3 А
Частота переключения максимальная: 100 Гц
Ток потребления вкл./выкл.: не более 0,02 А
Тип выхода: PNP
Функция выхода: NO/NC, размыкающий или замыкающий
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Расстояние срабатывания номинальное (Sn); 4000 мм;Расстояние срабатывания рабочее (Sa); 0...4000 мм;Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Тип выхода; PNP;Функция выхода; NO/NC, размыкающий или замыкающий;Частота переключения максимальная (f); 100 Гц;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,08 кг;Напряжение питания рабочее; 10...30 V DC;Падение напряжения максимальное; 0,1 В;Ток нагрузки максимальный (Ie); 0,3 А;Ток потребления вкл./выкл.; не более 0,02 А;Программируемая функция выхода; размыкающий или замыкающий;Материал корпуса; латунь;Индикация; выход;Степень защиты по IEC 60529; IP67;Защита от короткого замыкания; есть;Защита от перегрузки по току; есть;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-r4000-1p-1-v;"4000 мм";"0...4000 мм";"клеммная коробка/вывод вбок";"-20...+70 °C";PNP;"NO/NC, размыкающий или замыкающий";"100 Гц";"90 мм";;"90x50x30 мм";"0,08 кг";"10...30 V DC";"0,1 В";"0,3 А";"не более 0,02 А";"размыкающий или замыкающий";латунь;выход;IP67;есть;есть;есть;"В комплекте две крепежные гайки под ключ 24.";
ВБ3.18М.90.T16000.х.1.В;"2 604 руб.";F213;"Это ИЗЛУЧАТЕЛЬ барьерной пары, без приемника не работает!
Миниатюрный латунный (никелированный) цилиндрический корпус c резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,08 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-t16000-x-1-v;;;"клеммная коробка/вывод вбок";"-20...+70 °C";;;;"90 мм";;"90x50x30 мм";"0,08 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
ВБ3.18М.90.T4000.х.1.В;"2 748 руб.";F028;"Это ИЗЛУЧАТЕЛЬ барьерной пары, без приемника не работает!
Миниатюрный латунный (никелированный) цилиндрический корпус c резьбой М18х1 длиной 90 мм. Может быть настроен на размыкание или замыкание ключа. Тип Т. Барьерный.
Вид излучения: инфракрасный
Материал оптики: стекло
Максимальная освещенность: 5000 Лк
Рабочее напряжение питания: 10...30 V DC
Ток потребления вкл./выкл.: не более 0,03 А
Рабочая температура: -20...+70 °C
Пульсация напряжения питания: не более 15%
Световая индикация: есть
Степень защиты по IEC 60529: IP67
Способ подключения: клеммная коробка/вывод вбок";"Способ подключения; клеммная коробка/вывод вбок;Рабочая температура; -20...+70 °C;Длина; 90 мм;Размеры упаковки; 90x50x30 мм;Масса, не более; 0,08 кг;Напряжение питания рабочее; 10...30 V DC;Ток потребления вкл./выкл.; не более 0,03 А;Материал корпуса; латунь;Индикатор питания; есть;Индикация; питания;Степень защиты по IEC 60529; IP67;Защита от переполюсовки; есть;Примечание; В комплекте две крепежные гайки под ключ 24.;";https://mega-k.com/products/vb3-18m-90-t4000-x-1-v;;;"клеммная коробка/вывод вбок";"-20...+70 °C";;;;"90 мм";;"90x50x30 мм";"0,08 кг";"10...30 V DC";;;"не более 0,03 А";;латунь;питания;IP67;;;есть;"В комплекте две крепежные гайки под ключ 24.";есть
