name;price;info;link;is_available;"Тип корпуса";Приемник/Излучатель;"Материал корпуса";"Зона чувствительности, м";"Вид подключения";"Температура окружающей среды";"Длина кабеля, м";Особенности;"Схема выхода";"Функция выхода";"Частота переключения, Гц";Тип;"Направление оптической оси";"Зона чувствительности, мм";"Вид излучения";"Материал линз";"Тип переключения";"Обозначение резьбы";"Максимальное расстояние срабатывания, мм";"Температура объекта воздействия";"Угол поля зрения";"Материал кабеля";"Цвет излучения";"Степень защиты корпуса";"Функция защиты";"Количество лучей";"Разрешение, мм";"Высота контролируемой зоны, мм";"Время срабатывания, мс";"Защита коммутационного элемента";"Рабочее напряжение, В";"Аналоговый выход"
"Оптический датчик
ВБО-М18-76В-9100-Н";"5 658 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Излучатель; Материал корпуса: Латунь никелированная; Зона чувствительности, м: 0 - 20; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-9100-n/;"В наличии";"Цилиндрический с резьбой";Излучатель;"Латунь никелированная";"0 - 20";Кабель;"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76В-9113-СА";"6 620 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Приемник; Материал корпуса: Латунь никелированная; Схема выхода: PNP; Зона чувствительности, м: 0 - 20; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76v-9113-sa/;"В наличии";"Цилиндрический с резьбой";Приемник;"Латунь никелированная";"0 - 20";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-3113-СА";"7 742 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76vr-3113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Кабель с разъемом М12 х 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-3123-СА";"7 694 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76vr-3123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Кабель с разъемом М12 х 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-5113-СА";"7 634 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76vr-5113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Кабель с разъемом М12 х 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-5123-СА";"7 596 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76vr-5123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Кабель с разъемом М12 х 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-6113-СА";"9 852 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76vr-6113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Кабель с разъемом М12 х 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-7123-СА";"10 039 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76vr-7123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Кабель с разъемом М12 х 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-8113-СА";"9 775 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76vr-8113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Кабель с разъемом М12 х 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-9100-Н";"6 478 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Излучатель; Материал корпуса: Латунь никелированная; Зона чувствительности, м: 0 - 20; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76vr-9100-n/;"В наличии";"Цилиндрический с резьбой";Излучатель;"Латунь никелированная";"0 - 20";"Кабель с разъемом М12 х 1";"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76ВР-9113-СА";"7 400 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Приемник; Материал корпуса: Латунь никелированная; Схема выхода: PNP; Зона чувствительности, м: 0 - 20; Функция выхода: НО/НЗ; Вид подключения: Кабель с разъемом М12 х 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76vr-9113-sa/;"В наличии";"Цилиндрический с резьбой";Приемник;"Латунь никелированная";"0 - 20";"Кабель с разъемом М12 х 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-3113-СА";"6 636 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76k-3113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-5113-СА";"6 972 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76k-5113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-5123-СА";"7 265 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-76k-5123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Клеммная коробка";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-6113-СА";"7 814 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-6113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-7113-СА";"7 855 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-7113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-7123-СА";"9 060 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-7123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Клеммная коробка";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-8113-СА";"8 237 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-8113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-9100-Н";"6 529 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Излучатель; Материал корпуса: Латунь никелированная; Зона чувствительности, м: 0 - 20; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-9100-n/;"В наличии";"Цилиндрический с резьбой";Излучатель;"Латунь никелированная";"0 - 20";"Клеммная коробка";"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-9113-СА";"7 014 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Приемник; Материал корпуса: Латунь никелированная; Схема выхода: PNP; Зона чувствительности, м: 0 - 20; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-9113-sa/;"В наличии";"Цилиндрический с резьбой";Приемник;"Латунь никелированная";"0 - 20";"Клеммная коробка";"-25…+80 °С";;;PNP;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-76К-9123-СА";"7 783 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Приемник; Материал корпуса: Латунь никелированная; Схема выхода: NPN; Зона чувствительности, м: 0 - 20; Функция выхода: НО/НЗ; Вид подключения: Клеммная коробка; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-76k-9123-sa/;"В наличии";"Цилиндрический с резьбой";Приемник;"Латунь никелированная";"0 - 20";"Клеммная коробка";"-25…+80 °С";;;NPN;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-5113-СА";"8 845 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-86r-5113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-5123-СА";"8 845 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-86r-5123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-6113-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-6113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-7113-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-7113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-7123-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-7123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-8113-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-8113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-9100-Н";"7 372 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Излучатель; Материал корпуса: Латунь никелированная; Зона чувствительности, м: 0 - 20; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-9100-n/;"В наличии";"Цилиндрический с резьбой";Излучатель;"Латунь никелированная";"0 - 20";"Разъем M12 ? 1";"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
