name;price;info;link;is_available;Исполнение;Модификация;"Тип корпуса";"Расстояние срабатывания Sn, мм";"Размер корпуса";"Конструкция корпуса";"Схема выхода";"Функция выхода";"Материал корпуса";"Степень защиты корпуса";"Обозначение резьбы";"Регулировка чувствительности";"Вид взрывозащиты";Особенности;"Защита коммутационного элемента";"Длина кабеля, м";"Габаритный размер, мм";"Ширина щели, мм";"Диапазон частот контроля, Гц";"Первоначальная задержка включения";"Аналоговый выход";"Рабочая зона, мм";"Степень защиты";"Регулировка задержки срабатывания"
"Индуктивный датчик
ВБИ-М08-29УР-1111-С";"5 148 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29ur-1111-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29УР-1112-С";"5 148 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29ur-1112-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29УР-1121-С";"5 148 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29ur-1121-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-29УР-1122-С";"5 148 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-29ur-1122-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Короткий корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-32У-2111-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-32u-2111-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Короткий корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-32У-2112-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-32u-2112-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Короткий корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-32У-2121-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-32u-2121-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Короткий корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-32У-2122-С";"4 368 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Короткий корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-32u-1122-s/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Короткий корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1111-З";"4 914 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45r-1111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1111-З.51";"6 406 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 2; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45r-1111-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";2;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1112-З.51";"5 999 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 2; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45r-1112-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";2;"? 8 мм";"Средний корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1121-З";"6 170 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45r-1121-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1122-З";"4 879 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/datchik-vbi-m08-45r-1122-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45Р-1122-З.51";"5 940 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 2; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45r-1122-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";2;"? 8 мм";"Средний корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45У-1111-З";"4 836 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45u-1111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45У-1111-З.Ех";"10 168 ?
Цена с НДС 20%";"Исполнение: Взрывозащищенное; Модификация: Стандартное расстояние срабатывания; Вид взрывозащиты: «mb» герметизация компаундом; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Расстояние срабатывания Sn, мм: 1,5; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45u-1111-z_eh/;"В наличии";Взрывозащищенное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;;"«mb» герметизация компаундом";;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45У-1112-З";"4 836 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45u-1112-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45У-1121-З";"4 836 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 1,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45u-1121-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";1,5;"? 8 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-45У-1121-З.51";"5 746 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 2; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-45u-1121-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";2;"? 8 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48Р-2111-З";"6 587 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48r-2111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48Р-2111-З.51";"6 205 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 4; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48r-2111-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";4;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48Р-2112-З.51";"6 545 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 4; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48r-2112-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";4;"? 8 мм";"Средний корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48Р-2121-З";"7 138 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: NPN; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48r-2121-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Средний корпус";NPN;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48Р-2122-З.51";"6 092 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 4; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: NPN; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48r-2122-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";4;"? 8 мм";"Средний корпус";NPN;НЗ;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48У-2111-З";"4 836 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Стандартное расстояние срабатывания; Тип корпуса: цилиндрический с резьбой; Расстояние срабатывания Sn, мм: 2,5; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48u-2111-z/;"В наличии";Общепромышленное;"Стандартное расстояние срабатывания";"цилиндрический с резьбой";2,5;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48У-2111-З.51";"5 924 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 4; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НО; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48u-2111-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";4;"? 8 мм";"Средний корпус";PNP;НО;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
"Индуктивный датчик
ВБИ-М08-48У-2112-З.51";"6 059 ?
Цена с НДС 20%";"Исполнение: Общепромышленное; Модификация: Увеличенное расстояние срабатывания; Расстояние срабатывания Sn, мм: 4; Тип корпуса: цилиндрический с резьбой; Размер корпуса: ? 8 мм; Конструкция корпуса: Средний корпус; Обозначение резьбы: М8; Регулировка чувствительности: Отсутствует; Схема выхода: PNP; Функция выхода: НЗ; Материал корпуса: Латунь никелированная; Степень защиты корпуса: IP67";https://sensor-com.ru/sensors/vbi-m08-48u-2112-z_51/;"В наличии";Общепромышленное;"Увеличенное расстояние срабатывания";"цилиндрический с резьбой";4;"? 8 мм";"Средний корпус";PNP;НЗ;"Латунь никелированная";IP67;М8;Отсутствует;;;;;;;;;;;;
